,variance_explained,total_variance_explained
PC1,0.08045428428939765,1.0000000000000002
PC2,0.05982509174002892,1.0000000000000002
PC3,0.052500834859189494,1.0000000000000002
PC4,0.05208542193632171,1.0000000000000002
PC5,0.04506421917661985,1.0000000000000002
PC6,0.03462029383251882,1.0000000000000002
PC7,0.033118029745259334,1.0000000000000002
PC8,0.030383208852942968,1.0000000000000002
PC9,0.02829579187099486,1.0000000000000002
PC10,0.02465202721318598,1.0000000000000002
PC11,0.02209505960404861,1.0000000000000002
PC12,0.020415272786726762,1.0000000000000002
PC13,0.018697605655906998,1.0000000000000002
PC14,0.01861682107693134,1.0000000000000002
PC15,0.016691758034173502,1.0000000000000002
PC16,0.015448175455613835,1.0000000000000002
PC17,0.015042101520287239,1.0000000000000002
PC18,0.01328874459093404,1.0000000000000002
PC19,0.012798439681938285,1.0000000000000002
PC20,0.012634049391508738,1.0000000000000002
PC21,0.0114566926415309,1.0000000000000002
PC22,0.011334298351794394,1.0000000000000002
PC23,0.010982216041779935,1.0000000000000002
PC24,0.010460280376866306,1.0000000000000002
PC25,0.010128680393852792,1.0000000000000002
PC26,0.009733770640839839,1.0000000000000002
PC27,0.009294729377019164,1.0000000000000002
PC28,0.009033291850335145,1.0000000000000002
PC29,0.00887396885973687,1.0000000000000002
PC30,0.008781484495461043,1.0000000000000002
PC31,0.008498865137781182,1.0000000000000002
PC32,0.008439063966699537,1.0000000000000002
PC33,0.007823733921413428,1.0000000000000002
PC34,0.007461026875480806,1.0000000000000002
PC35,0.00715824041116315,1.0000000000000002
PC36,0.006804136086786944,1.0000000000000002
PC37,0.006727562043350519,1.0000000000000002
PC38,0.006558472309966965,1.0000000000000002
PC39,0.006403533714754727,1.0000000000000002
PC40,0.006343260238724619,1.0000000000000002
PC41,0.006139770230237792,1.0000000000000002
PC42,0.005995783739273263,1.0000000000000002
PC43,0.005943451507625932,1.0000000000000002
PC44,0.005795353382498521,1.0000000000000002
PC45,0.00553056595075912,1.0000000000000002
PC46,0.005437401332121507,1.0000000000000002
PC47,0.005199501964055903,1.0000000000000002
PC48,0.005161847461030005,1.0000000000000002
PC49,0.005044809847849713,1.0000000000000002
PC50,0.0049555350838080435,1.0000000000000002
PC51,0.004650788892403804,1.0000000000000002
PC52,0.0045065967335117495,1.0000000000000002
PC53,0.004460407172621534,1.0000000000000002
PC54,0.004300088242806876,1.0000000000000002
PC55,0.004149725108104562,1.0000000000000002
PC56,0.004075349682111165,1.0000000000000002
PC57,0.004034139716379591,1.0000000000000002
PC58,0.0038921648234742853,1.0000000000000002
PC59,0.003751836988242215,1.0000000000000002
PC60,0.0036406479657415084,1.0000000000000002
PC61,0.003565482244526424,1.0000000000000002
PC62,0.0034868511586621798,1.0000000000000002
PC63,0.0033226693494243947,1.0000000000000002
PC64,0.0033113792943147246,1.0000000000000002
PC65,0.0032005046067916172,1.0000000000000002
PC66,0.0030919200715839963,1.0000000000000002
PC67,0.0030755049999348348,1.0000000000000002
PC68,0.0029859938034787637,1.0000000000000002
PC69,0.0029054534018500113,1.0000000000000002
PC70,0.0028714790978869847,1.0000000000000002
PC71,0.002798499155887745,1.0000000000000002
PC72,0.0027601317734904074,1.0000000000000002
PC73,0.002654031151167415,1.0000000000000002
PC74,0.0026140903873228313,1.0000000000000002
PC75,0.0025565078988920692,1.0000000000000002
PC76,0.0024843666442067995,1.0000000000000002
PC77,0.002473227740600376,1.0000000000000002
PC78,0.0024548748666819845,1.0000000000000002
PC79,0.0023278322254665024,1.0000000000000002
PC80,0.002316760692490334,1.0000000000000002
PC81,0.0022283013776990862,1.0000000000000002
PC82,0.002155314841923625,1.0000000000000002
PC83,0.002091294311087606,1.0000000000000002
PC84,0.002046056500297222,1.0000000000000002
PC85,0.0020232422408821625,1.0000000000000002
PC86,0.0019546077706744398,1.0000000000000002
PC87,0.0019184131380573326,1.0000000000000002
PC88,0.001851108846232925,1.0000000000000002
PC89,0.0018137254584489654,1.0000000000000002
PC90,0.0017840126128013884,1.0000000000000002
PC91,0.0017581606389313745,1.0000000000000002
PC92,0.0016744576144248698,1.0000000000000002
PC93,0.001663385585974934,1.0000000000000002
PC94,0.0016180817247433818,1.0000000000000002
PC95,0.0015393782683224702,1.0000000000000002
PC96,0.0015340974981820066,1.0000000000000002
PC97,0.0015227368566660927,1.0000000000000002
PC98,0.0014589098153174208,1.0000000000000002
PC99,0.00141671391757409,1.0000000000000002
PC100,0.0013810408842935592,1.0000000000000002
PC101,0.0013276845473085396,1.0000000000000002
PC102,0.001310899798082241,1.0000000000000002
PC103,0.0012925961700163814,1.0000000000000002
PC104,0.0012071336241916638,1.0000000000000002
PC105,0.0011831388679650618,1.0000000000000002
PC106,0.0011715193814328718,1.0000000000000002
PC107,0.0011387867077207884,1.0000000000000002
PC108,0.0010936857945049484,1.0000000000000002
PC109,0.001073135659244137,1.0000000000000002
PC110,0.0009896145659177747,1.0000000000000002
PC111,0.0009803129120756376,1.0000000000000002
PC112,0.0009628317332938971,1.0000000000000002
PC113,0.0009399613178052628,1.0000000000000002
PC114,0.0009035564332842011,1.0000000000000002
PC115,0.000894931894137759,1.0000000000000002
PC116,0.0008793362445417093,1.0000000000000002
PC117,0.0008189640530746859,1.0000000000000002
PC118,0.0007888350739573411,1.0000000000000002
PC119,0.000733564371718475,1.0000000000000002
PC120,0.0007243292578781985,1.0000000000000002
PC121,0.0006979726908264444,1.0000000000000002
PC122,0.0006675017183790016,1.0000000000000002
PC123,0.0006444883620352385,1.0000000000000002
PC124,0.0006221739733887083,1.0000000000000002
PC125,0.0006137522994432397,1.0000000000000002
