,species,corr_pc1,corr_pc2,effect_size,mean_abundance,p_value,pre,post,going_through
0,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners,-0.051107886612552424,0.10723207799715959,1.020359749517674e-05,3.95029370139337e-06,0.3604828125511972,3.4493888238253707e-06,2.8285414523244353e-06,1.3032138947501176e-05
1,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_albicans,-0.05990208159780923,-0.05860493646826153,2.3685077719420957e-06,8.045123223032313e-07,0.07970459115035648,1.6197095383275877e-06,0.0,2.3685077719420957e-06
2,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,0.008609499172236424,-0.04626123302030839,2.287605408633888e-05,2.3385310781352574e-05,0.027955564542594992,2.9247648123187023e-05,2.214754217508625e-05,6.371594036848146e-06
3,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica,,,,0.0002830154105001998,,0.0002830154105001998,,
4,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,-0.1622084720545934,0.043166796941979946,3.399531055542504e-05,2.244048317767915e-05,0.6343671783685891,3.815539321247893e-05,1.472491898498451e-05,4.160082657053893e-06
5,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_histicola,,,,0.0,,0.0,,
6,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,-0.0363533013087824,-0.27377176805748243,0.00044982447309743274,0.000605284955216848,2.7465315314256035e-07,0.00034660676444829406,0.0007964312375457268,0.0005075911475548636
7,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,-0.20252703445307,-0.0019447513305578484,0.0024660134335638107,0.002393325776923454,0.03375794002894087,0.0031132692865474135,0.002186064993789481,0.0006472558529836029
8,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens,0.0537013252844612,-0.09827142877565004,1.2918204755254238e-06,8.686227273588717e-07,0.8376511073602693,1.2918204755254238e-06,7.214049232347064e-07,0.0
9,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus,,,,2.7339183568435303e-06,,2.7339183568435303e-06,,
10,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,-0.09511152625491122,-0.24306925092579343,0.00016128919346095172,0.00014403726676182104,6.339953978153868e-07,0.00013012321286829084,0.00017452219634767852,1.3233002886726813e-05
11,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium,-0.07469241113099052,-0.2697059025276421,4.500132700197602e-05,4.279549258170306e-05,2.2241755400245123e-08,3.858065645985312e-05,5.1495432276919014e-05,6.494105274942997e-06
12,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,-0.06927209436050659,-0.2727931162239101,0.00027321598074745964,0.00020070370909842862,3.1531778987992576e-06,0.00030326896648524056,0.00015860899577920068,3.0052985737780944e-05
13,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis,0.056641109715771555,-0.11076707246370245,3.8652896118083544e-07,2.5724183772833037e-07,0.8697520246816152,3.8652896118083544e-07,2.1095960145820193e-07,0.0
14,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_jejuni,,,,0.0,,0.0,,
15,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae,,,,0.0,,0.0,,
16,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,-0.12758787588402357,-0.04530820606829629,0.0004696240309217918,0.0007872312617161275,0.8966926265777687,0.000803655779682271,0.0008427331416458562,0.0003731091107240644
17,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis,-0.030539175441967388,0.02694598747922428,3.33586192447059e-05,3.177782621555815e-05,0.5468652056216896,2.6110581392086793e-05,3.971236199784225e-05,6.353742753136342e-06
18,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens,,,,0.0,,0.0,,
19,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02,-0.03434475843306735,0.1419702132212384,1.3242941153822151e-05,1.3411005024343997e-05,0.6648419608147276,9.352636259330864e-06,1.7617390502455734e-05,4.374449348633583e-06
20,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,-0.07181891250313703,0.10613744143820719,3.827900870048596e-06,8.227873213576463e-06,0.06269009592053064,7.026917069523985e-06,9.460021972782171e-06,5.632121102733575e-06
21,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_M334,,,,0.0,,0.0,,
22,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,-0.09610729877604136,-0.3588024272477029,0.0003440469378873258,0.0004371597333576747,1.7605383126718415e-05,0.0002444102323280309,0.0005884571702153567,0.00030925570150986515
23,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,-0.07752877161994749,0.06029599922287995,3.1418601469978967e-06,2.486387265721668e-06,0.6993106703172918,3.1418601469978967e-06,2.441979469455069e-06,0.0
24,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,-0.04124945052709395,0.1992314554017319,2.172026329549632e-05,3.0669054283538656e-05,0.047642227426292844,2.05961173379509e-05,3.9563974738257727e-05,1.7843711442761408e-05
25,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,-0.10696946043858402,0.03973785069525087,1.0066134180365712e-05,7.782732660439285e-06,0.02502722210140704,2.2144536818840086e-06,1.228058786224972e-05,3.2980938873859774e-06
26,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,-0.036526404894408365,-0.07344582379737795,4.509704828227843e-05,3.7555560146484916e-05,2.0530776707965812e-05,2.5318865287699193e-05,5.095480442985377e-05,5.857756147575339e-06
27,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,-0.09843648760912582,0.1665999865870082,1.916971419531579e-05,2.2664120256869463e-05,0.0691831001683269,1.2660019411431959e-05,3.1165288064941086e-05,1.1995573869625295e-05
28,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6,-0.08816659400157736,-0.14237394711281787,2.3943551984938498e-05,1.677873327564726e-05,0.00014806644312491412,1.019505595616801e-05,2.3943551984938498e-05,0.0
29,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava,,,,0.0,,0.0,,
30,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_306,,,,0.0,,0.0,,
31,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae,,,,0.0,,0.0,,
32,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae,-0.04704403440194215,0.09276559218470162,3.3032455338487265e-06,2.0045792368742815e-06,0.5658007843839913,5.652596009329808e-07,3.3032455338487265e-06,0.0
33,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus,0.013142056078000074,-0.11607935405462486,6.669144054372095e-07,4.026438460436218e-07,0.48257559563970853,1.0849935752444505e-07,6.669144054372095e-07,0.0
34,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum,-0.03229508209850226,0.008739521963672007,7.67341314495357e-06,3.502711308035545e-06,0.65262008420667,7.67341314495357e-06,1.2379590084301903e-06,0.0
35,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_299,,,,0.0,,0.0,,
36,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_096,,,,1.4602143925342818e-06,,1.4602143925342818e-06,,
37,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci,,,4.5217251717030924e-07,5.096691636051286e-07,,2.6822944806809655e-07,6.380850786313931e-07,1.8591256146108392e-07
38,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum|s__Stomatobaculum_longum,,,,0.0,,0.0,,
39,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181,-0.0678091670470992,0.12965638817734407,8.200427134626974e-06,5.211006351533843e-06,0.5226389200147827,1.2744841901257571e-06,8.647251771413593e-06,4.468246367866192e-07
40,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448,-0.1329113445623075,0.06282750538361957,2.773279587987868e-06,1.997361735339718e-06,0.34635788406417023,2.773279587987868e-06,1.7925791030238017e-06,0.0
41,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sobrinus,,,2.6814328400280562e-06,1.970706880948568e-06,,7.254973497981835e-07,2.6814328400280562e-06,0.0
42,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum,-0.0428951785803896,0.1170171028005852,6.31919322722403e-06,6.1717773346449225e-06,0.05412430080085197,2.3411959697436558e-06,8.660389196967685e-06,6.8499965137230875e-06
43,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,-0.10213619719954352,0.053326425412276376,3.1167095813062465e-06,4.984719587662722e-06,0.49947735737879506,3.2874406627737226e-06,6.404150244079969e-06,3.316790263387752e-06
44,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473,,,,0.0,,0.0,,
45,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava,0.01727335866927153,-0.0863761832283709,4.967236211665999e-07,2.4507188401582783e-07,0.8697520246816152,4.967236211665999e-07,1.1384836544486279e-07,0.0
46,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca,0.03545710633803844,-0.0827332481220897,7.603431539017751e-07,2.8037653800127956e-07,0.42488692537717165,7.603431539017751e-07,0.0,0.0
47,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis,-0.11556674196830775,0.013664069259347154,1.1612147103816853e-05,1.560711261170842e-05,0.05373911151590051,9.492820155044275e-06,2.0788432556229413e-05,9.17628545241256e-06
48,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3,-0.10956371404898532,0.14103573636399222,1.1556651443548386e-06,1.4012074202753554e-06,0.31377212904245505,9.350647065523365e-07,1.6063695591352712e-06,2.090729850907175e-06
49,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii,-0.030548240258427586,0.04596512865247745,3.384097260344585e-05,3.5942187360453814e-05,0.10413670514277017,1.832527448508065e-05,5.092408316337717e-05,1.7083110559931316e-05
50,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae,,,,0.0,,0.0,,
51,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_saburreum,,,,0.0,,0.0,,
52,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,-0.011380525573163306,-0.13587977529969544,1.1543167832728498e-06,2.558178409416996e-06,0.451384608697429,1.900357077094786e-06,2.9243913093445984e-06,3.054673860367636e-06
53,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae,-0.06589799309525708,0.004636656516354848,4.876695571018481e-06,2.09547596057884e-06,0.6668338197427031,4.876695571018481e-06,5.465645402588965e-07,0.0
54,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oulorum,,,,0.0,,0.0,,
55,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_veroralis,,,,0.0,,0.0,,
56,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei,,,,0.0,,0.0,,
57,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,-0.01583421606992292,0.13485131739655026,3.65618079544624e-05,3.6257809065175765e-05,0.8113778305568242,5.9245731795488505e-05,2.268392384102611e-05,2.3732135737502136e-05
58,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247,-0.12317150570370473,0.14243810743331184,1.448798636809627e-05,1.2166948507097316e-05,0.07081087840830144,4.361739968928233e-06,1.8734662496258936e-05,4.246676128162668e-06
59,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_macacae,,,6.346904178368886e-07,1.358286886421357e-07,,6.346904178368886e-07,0.0,0.0
60,k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum,0.06818674295776624,-0.04757919397497466,1.3391835769055366e-07,7.281810699423855e-08,0.6573489797619034,0.0,1.3391835769055366e-07,0.0
61,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,-0.12138115318179603,0.1490314056208232,5.465688098794077e-06,4.523165843992827e-06,0.30293012210617826,3.129283501629306e-06,4.813209264790757e-06,8.594971600423383e-06
62,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_tobetsuensis,-0.007248328136831849,-0.035808041792623944,3.045893338591127e-06,1.7799967934455046e-06,0.44084014969262153,8.221883875030966e-08,3.1281121773414366e-06,5.573440025933931e-07
63,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris,,,,0.0,,0.0,,
64,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,-0.06344661435198386,0.05715398304609025,0.00030883297936952465,0.00018702183692208778,0.5973390162667547,0.0003179078346303012,0.00012689521483557934,9.074855260776586e-06
65,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens,,,,0.0,,0.0,,
66,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,-0.1594865302211973,0.18689809999327134,4.555092961639276e-06,4.452380210896362e-06,0.4183335527167903,2.8909269253752117e-06,5.995915312962676e-06,1.4408223513234003e-06
67,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,-0.027053680172526136,-0.02442318023054528,4.687936687419721e-06,2.6677781442665825e-06,0.4399711592014718,4.57746498930989e-08,4.73371133731282e-06,8.793508851960665e-07
