ADA	ADA	Gene Expression
ADGRE1	ADGRE1	Gene Expression
ADGRG3	ADGRG3	Gene Expression
AIM2	AIM2	Gene Expression
ANXA5	ANXA5	Gene Expression
AOC3	AOC3	Gene Expression
APOBEC3G	APOBEC3G	Gene Expression
AQP9	AQP9	Gene Expression
ARL4C	ARL4C	Gene Expression
ATF6B	ATF6B	Gene Expression
AURKB	AURKB	Gene Expression
AZU1	AZU1	Gene Expression
B3GAT1	B3GAT1	Gene Expression
BACH2	BACH2	Gene Expression
BAX	BAX	Gene Expression
BCL11B	BCL11B	Gene Expression
BCL2	BCL2	Gene Expression
BCL2A1	BCL2A1	Gene Expression
BCL6	BCL6	Gene Expression
BIN2	BIN2	Gene Expression
BIRC3	BIRC3	Gene Expression
BLK	BLK	Gene Expression
BLNK	BLNK	Gene Expression
BPI	BPI	Gene Expression
BTG1	BTG1	Gene Expression
BTLA	BTLA	Gene Expression
C10orf54	C10orf54	Gene Expression
C1QA	C1QA	Gene Expression
C1QB	C1QB	Gene Expression
CASP5	CASP5	Gene Expression
CBLB	CBLB	Gene Expression
CCL1	CCL1	Gene Expression
CCL17	CCL17	Gene Expression
CCL19	CCL19	Gene Expression
CCL2	CCL2	Gene Expression
CCL20	CCL20	Gene Expression
CCL22	CCL22	Gene Expression
CCL3	CCL3	Gene Expression
CCL4	CCL4	Gene Expression
CCL5	CCL5	Gene Expression
CCND2	CCND2	Gene Expression
CCR1	CCR1	Gene Expression
CCR10	CCR10	Gene Expression
CCR2	CCR2	Gene Expression
CCR3	CCR3	Gene Expression
CCR4	CCR4	Gene Expression
CCR5	CCR5	Gene Expression
CCR7	CCR7	Gene Expression
CCR7|CCR7|AHS0273|pAbO	CCR7|CCR7|AHS0273|pAbO	Antibody Capture
CCR8	CCR8	Gene Expression
CCR9	CCR9	Gene Expression
CD11c:B-LY6|ITGAX|AHS0056|pAbO	CD11c:B-LY6|ITGAX|AHS0056|pAbO	Antibody Capture
CD127|IL7R|AHS0028|pAbO	CD127|IL7R|AHS0028|pAbO	Antibody Capture
CD134:ACT35|TNFRSF4|AHS0013|pAbO	CD134:ACT35|TNFRSF4|AHS0013|pAbO	Antibody Capture
CD137|TNFRSF9|AHS0003|pAbO	CD137|TNFRSF9|AHS0003|pAbO	Antibody Capture
CD14	CD14	Gene Expression
CD14:MPHIP9|CD14|AHS0037|pAbO	CD14:MPHIP9|CD14|AHS0037|pAbO	Antibody Capture
CD160	CD160	Gene Expression
CD161:HP-3G10|KLRB1|AHS0205|pAbO	CD161:HP-3G10|KLRB1|AHS0205|pAbO	Antibody Capture
CD163	CD163	Gene Expression
CD16:3G8|FCGR3A|AHS0053|pAbO	CD16:3G8|FCGR3A|AHS0053|pAbO	Antibody Capture
CD183|CXCR3|AHS0031|pAbO	CD183|CXCR3|AHS0031|pAbO	Antibody Capture
CD196|CCR6|AHS0034|pAbO	CD196|CCR6|AHS0034|pAbO	Antibody Capture
CD19:SJ25C1|CD19|AHS0030|pAbO	CD19:SJ25C1|CD19|AHS0030|pAbO	Antibody Capture
CD1A	CD1A	Gene Expression
CD1B	CD1B	Gene Expression
CD1C	CD1C	Gene Expression
CD2	CD2	Gene Expression
CD200	CD200	Gene Expression
CD209	CD209	Gene Expression
CD22	CD22	Gene Expression
CD24	CD24	Gene Expression
CD244	CD244	Gene Expression
CD247	CD247	Gene Expression
CD25:2A3|IL2RA|AHS0026|pAbO	CD25:2A3|IL2RA|AHS0026|pAbO	Antibody Capture
CD27	CD27	Gene Expression
CD272|BTLA|AHS0052|pAbO	CD272|BTLA|AHS0052|pAbO	Antibody Capture
CD274	CD274	Gene Expression
CD278|ICOS|AHS0012|pAbO	CD278|ICOS|AHS0012|pAbO	Antibody Capture
CD279:EH12-1|PDCD1|AHS0014|pAbO	CD279:EH12-1|PDCD1|AHS0014|pAbO	Antibody Capture
CD27:M-T271|CD27|AHS0025|pAbO	CD27:M-T271|CD27|AHS0025|pAbO	Antibody Capture
CD28	CD28	Gene Expression
CD28:L293|CD28|AHS0138|pAbO	CD28:L293|CD28|AHS0138|pAbO	Antibody Capture
CD300A	CD300A	Gene Expression
CD33	CD33	Gene Expression
CD36	CD36	Gene Expression
CD37	CD37	Gene Expression
CD38	CD38	Gene Expression
CD3:UCHT1|CD3E|AHS0231|pAbO	CD3:UCHT1|CD3E|AHS0231|pAbO	Antibody Capture
CD3D	CD3D	Gene Expression
CD3E	CD3E	Gene Expression
CD3G	CD3G	Gene Expression
CD4	CD4	Gene Expression
CD40	CD40	Gene Expression
CD44	CD44	Gene Expression
CD45RA:HI100|PTPRC|AHS0009|pAbO	CD45RA:HI100|PTPRC|AHS0009|pAbO	Antibody Capture
CD48	CD48	Gene Expression
CD4:SK3|CD4|AHS0032|pAbO	CD4:SK3|CD4|AHS0032|pAbO	Antibody Capture
CD5	CD5	Gene Expression
CD52	CD52	Gene Expression
CD56:NCAM16.2|NCAM1|AHS0019|pAbO	CD56:NCAM16.2|NCAM1|AHS0019|pAbO	Antibody Capture
CD6	CD6	Gene Expression
CD62L:DREG-56|SELL|AHS0049|pAbO	CD62L:DREG-56|SELL|AHS0049|pAbO	Antibody Capture
CD63	CD63	Gene Expression
CD69	CD69	Gene Expression
CD7	CD7	Gene Expression
CD70	CD70	Gene Expression
CD72	CD72	Gene Expression
CD74	CD74	Gene Expression
CD79A	CD79A	Gene Expression
CD79B	CD79B	Gene Expression
CD80	CD80	Gene Expression
CD86	CD86	Gene Expression
CD8:SK1|CD8A|AHS0228|pAbO	CD8:SK1|CD8A|AHS0228|pAbO	Antibody Capture
CD8A	CD8A	Gene Expression
CD8B	CD8B	Gene Expression
CD9	CD9	Gene Expression
CHI3L1	CHI3L1	Gene Expression
CHI3L2	CHI3L2	Gene Expression
CLC	CLC	Gene Expression
CLEC10A	CLEC10A	Gene Expression
CLEC4D	CLEC4D	Gene Expression
CLEC4E	CLEC4E	Gene Expression
CMKLR1	CMKLR1	Gene Expression
CMTM2	CMTM2	Gene Expression
CNOT2	CNOT2	Gene Expression
CPA3	CPA3	Gene Expression
CR2	CR2	Gene Expression
CSF2	CSF2	Gene Expression
CST7	CST7	Gene Expression
CTLA4	CTLA4	Gene Expression
CTSD	CTSD	Gene Expression
CTSG	CTSG	Gene Expression
CTSW	CTSW	Gene Expression
CX3CR1	CX3CR1	Gene Expression
CXCL1	CXCL1	Gene Expression
CXCL10	CXCL10	Gene Expression
CXCL11	CXCL11	Gene Expression
CXCL13	CXCL13	Gene Expression
CXCL16	CXCL16	Gene Expression
CXCL2	CXCL2	Gene Expression
CXCL3	CXCL3	Gene Expression
CXCL5	CXCL5	Gene Expression
CXCL8	CXCL8	Gene Expression
CXCL9	CXCL9	Gene Expression
CXCR1	CXCR1	Gene Expression
CXCR2	CXCR2	Gene Expression
CXCR3	CXCR3	Gene Expression
CXCR4	CXCR4	Gene Expression
CXCR5	CXCR5	Gene Expression
CXCR5|CXCR5|AHS0039|pAbO	CXCR5|CXCR5|AHS0039|pAbO	Antibody Capture
CXCR6	CXCR6	Gene Expression
CXCR6|CXCR6|AHS0148|pAbO	CXCR6|CXCR6|AHS0148|pAbO	Antibody Capture
DOCK8	DOCK8	Gene Expression
DPP4	DPP4	Gene Expression
DUSP1	DUSP1	Gene Expression
DUSP2	DUSP2	Gene Expression
DUSP4	DUSP4	Gene Expression
EBF1	EBF1	Gene Expression
EGR1	EGR1	Gene Expression
EGR3	EGR3	Gene Expression
ELANE	ELANE	Gene Expression
ENTPD1	ENTPD1	Gene Expression
EOMES	EOMES	Gene Expression
F13A1	F13A1	Gene Expression
F5	F5	Gene Expression
FAM129C	FAM129C	Gene Expression
FAM65B	FAM65B	Gene Expression
FAS	FAS	Gene Expression
FASLG	FASLG	Gene Expression
FCER1A	FCER1A	Gene Expression
FCER1G	FCER1G	Gene Expression
FCER2	FCER2	Gene Expression
FCGR3A	FCGR3A	Gene Expression
FCN1	FCN1	Gene Expression
FLT3	FLT3	Gene Expression
FN1	FN1	Gene Expression
FOSB	FOSB	Gene Expression
FOSL1	FOSL1	Gene Expression
FOXO1	FOXO1	Gene Expression
FOXP1	FOXP1	Gene Expression
FOXP3	FOXP3	Gene Expression
FTH1	FTH1	Gene Expression
FUT4	FUT4	Gene Expression
FYB	FYB	Gene Expression
FYN	FYN	Gene Expression
GAB2	GAB2	Gene Expression
GAPDH	GAPDH	Gene Expression
GIMAP2	GIMAP2	Gene Expression
