barcode,Cluster,Sample
9-0,2,GSM8698011
409-0,1,GSM8698011
2694-0,1,GSM8698011
2741-0,7,GSM8698011
4287-0,2,GSM8698011
4670-0,10,GSM8698011
4682-0,4,GSM8698011
5442-0,5,GSM8698011
6226-0,1,GSM8698011
6611-0,2,GSM8698011
9279-0,8,GSM8698011
10056-0,7,GSM8698011
14270-0,2,GSM8698011
16524-0,3,GSM8698011
18839-0,0,GSM8698011
20061-0,2,GSM8698011
22708-0,3,GSM8698011
23445-0,3,GSM8698011
23852-0,0,GSM8698011
23898-0,8,GSM8698011
24665-0,1,GSM8698011
25015-0,1,GSM8698011
26967-0,0,GSM8698011
28803-0,6,GSM8698011
30385-0,4,GSM8698011
31922-0,2,GSM8698011
33794-0,1,GSM8698011
35019-0,5,GSM8698011
36496-0,5,GSM8698011
149830-0,3,GSM8698011
152480-0,0,GSM8698011
152877-0,1,GSM8698011
155147-0,13,GSM8698011
155223-0,6,GSM8698011
157913-0,0,GSM8698011
158612-0,3,GSM8698011
158688-0,0,GSM8698011
160952-0,1,GSM8698011
162527-0,7,GSM8698011
164741-0,0,GSM8698011
165568-0,3,GSM8698011
165929-0,10,GSM8698011
165954-0,0,GSM8698011
169435-0,7,GSM8698011
169817-0,0,GSM8698011
172458-0,10,GSM8698011
172888-0,1,GSM8698011
174781-0,2,GSM8698011
175186-0,5,GSM8698011
178252-0,0,GSM8698011
178947-0,6,GSM8698011
180098-0,5,GSM8698011
181315-0,0,GSM8698011
182453-0,2,GSM8698011
295311-0,9,GSM8698011
295717-0,6,GSM8698011
296139-0,0,GSM8698011
296918-0,2,GSM8698011
297632-0,4,GSM8698011
299528-0,4,GSM8698011
299577-0,5,GSM8698011
301483-0,2,GSM8698011
301861-0,1,GSM8698011
301875-0,6,GSM8698011
303064-0,6,GSM8698011
303766-0,2,GSM8698011
303802-0,3,GSM8698011
305315-0,5,GSM8698011
308789-0,0,GSM8698011
309526-0,2,GSM8698011
309566-0,7,GSM8698011
312278-0,6,GSM8698011
313408-0,1,GSM8698011
313744-0,11,GSM8698011
314143-0,2,GSM8698011
314146-0,0,GSM8698011
316491-0,7,GSM8698011
317584-0,1,GSM8698011
317964-0,1,GSM8698011
319923-0,2,GSM8698011
319930-0,3,GSM8698011
323002-0,0,GSM8698011
323362-0,1,GSM8698011
324877-0,0,GSM8698011
327191-0,2,GSM8698011
328394-0,3,GSM8698011
442782-0,1,GSM8698011
442783-0,8,GSM8698011
443209-0,0,GSM8698011
447410-0,7,GSM8698011
447425-0,0,GSM8698011
447835-0,1,GSM8698011
448203-0,2,GSM8698011
449677-0,11,GSM8698011
452040-0,13,GSM8698011
452365-0,5,GSM8698011
452790-0,1,GSM8698011
462403-0,1,GSM8698011
464652-0,1,GSM8698011
467770-0,7,GSM8698011
470817-0,11,GSM8698011
590986-0,2,GSM8698011
591790-0,6,GSM8698011
591800-0,0,GSM8698011
592145-0,3,GSM8698011
594128-0,0,GSM8698011
595215-0,6,GSM8698011
596428-0,0,GSM8698011
597907-0,8,GSM8698011
598314-0,0,GSM8698011
599067-0,7,GSM8698011
599879-0,2,GSM8698011
600624-0,1,GSM8698011
600970-0,11,GSM8698011
603305-0,1,GSM8698011
607930-0,6,GSM8698011
609446-0,8,GSM8698011
611352-0,1,GSM8698011
614787-0,3,GSM8698011
616372-0,1,GSM8698011
616767-0,2,GSM8698011
617880-0,2,GSM8698011
618272-0,4,GSM8698011
619454-0,5,GSM8698011
620574-0,4,GSM8698011
620994-0,7,GSM8698011
622873-0,1,GSM8698011
622923-0,2,GSM8698011
623265-0,1,GSM8698011
625231-0,3,GSM8698011
625561-0,11,GSM8698011
625625-0,0,GSM8698011
625922-0,1,GSM8698011
626322-0,0,GSM8698011
738868-0,2,GSM8698011
738883-0,5,GSM8698011
739661-0,7,GSM8698011
739671-0,7,GSM8698011
740438-0,6,GSM8698011
741143-0,10,GSM8698011
741540-0,2,GSM8698011
741596-0,1,GSM8698011
741904-0,1,GSM8698011
743482-0,4,GSM8698011
745007-0,7,GSM8698011
747335-0,4,GSM8698011
747662-0,6,GSM8698011
748421-0,10,GSM8698011
749634-0,3,GSM8698011
750730-0,2,GSM8698011
751917-0,2,GSM8698011
753468-0,3,GSM8698011
753832-0,8,GSM8698011
755782-0,3,GSM8698011
756483-0,1,GSM8698011
760326-0,9,GSM8698011
763840-0,6,GSM8698011
766509-0,3,GSM8698011
769941-0,2,GSM8698011
770320-0,2,GSM8698011
771106-0,11,GSM8698011
771114-0,7,GSM8698011
771504-0,4,GSM8698011
886696-0,0,GSM8698011
887089-0,2,GSM8698011
887090-0,2,GSM8698011
887491-0,12,GSM8698011
887857-0,8,GSM8698011
890906-0,5,GSM8698011
892824-0,2,GSM8698011
895161-0,5,GSM8698011
896259-0,8,GSM8698011
896332-0,0,GSM8698011
897467-0,3,GSM8698011
898580-0,6,GSM8698011
898990-0,0,GSM8698011
899765-0,10,GSM8698011
900919-0,9,GSM8698011
903984-0,11,GSM8698011
904783-0,8,GSM8698011
906633-0,4,GSM8698011
910505-0,6,GSM8698011
911271-0,1,GSM8698011
913614-0,0,GSM8698011
915853-0,0,GSM8698011
917417-0,6,GSM8698011
917432-0,8,GSM8698011
920149-0,3,GSM8698011
920505-0,9,GSM8698011
921245-0,6,GSM8698011
1033049-0,1,GSM8698011
1033746-0,2,GSM8698011
1035324-0,3,GSM8698011
1035720-0,4,GSM8698011
1036861-0,2,GSM8698011
1037269-0,6,GSM8698011
1039539-0,6,GSM8698011
1043353-0,4,GSM8698011
1043356-0,4,GSM8698011
1044536-0,1,GSM8698011
1045657-0,4,GSM8698011
1046445-0,5,GSM8698011
1047998-0,2,GSM8698011
1048004-0,5,GSM8698011
1050271-0,4,GSM8698011
1053774-0,0,GSM8698011
1055622-0,0,GSM8698011
1056387-0,1,GSM8698011
1057192-0,5,GSM8698011
1058002-0,4,GSM8698011
1059163-0,1,GSM8698011
1060647-0,0,GSM8698011
1060656-0,7,GSM8698011
1061084-0,3,GSM8698011
1061441-0,0,GSM8698011
1061765-0,1,GSM8698011
1065262-0,3,GSM8698011
1066831-0,9,GSM8698011
1068368-0,3,GSM8698011
1179702-0,7,GSM8698011
1183577-0,10,GSM8698011
1185088-0,1,GSM8698011
1185431-0,6,GSM8698011
1185468-0,4,GSM8698011
1186607-0,1,GSM8698011
1186950-0,2,GSM8698011
1187003-0,1,GSM8698011
1190838-0,12,GSM8698011
1191979-0,1,GSM8698011
1193089-0,0,GSM8698011
1196229-0,4,GSM8698011
1197704-0,5,GSM8698011
1198163-0,6,GSM8698011
1208865-0,3,GSM8698011
1209250-0,6,GSM8698011
1209622-0,0,GSM8698011
1209645-0,12,GSM8698011
1210019-0,10,GSM8698011
1211167-0,4,GSM8698011
1211228-0,7,GSM8698011
1211910-0,5,GSM8698011
1212731-0,3,GSM8698011
1214304-0,3,GSM8698011
1215833-0,2,GSM8698011
1328294-0,3,GSM8698011
1329106-0,4,GSM8698011
1329113-0,1,GSM8698011
1329473-0,5,GSM8698011
1329816-0,1,GSM8698011
1330594-0,1,GSM8698011
1330956-0,9,GSM8698011
1330967-0,3,GSM8698011
1331024-0,4,GSM8698011
1331392-0,3,GSM8698011
1332568-0,6,GSM8698011
1332884-0,4,GSM8698011
1333663-0,2,GSM8698011
1334486-0,0,GSM8698011
1334829-0,0,GSM8698011
1337158-0,2,GSM8698011
1338659-0,0,GSM8698011
1339820-0,1,GSM8698011
1340201-0,0,GSM8698011
1340229-0,3,GSM8698011
1340633-0,0,GSM8698011
1340638-0,3,GSM8698011
1341004-0,0,GSM8698011
1341739-0,0,GSM8698011
1342090-0,11,GSM8698011
1342133-0,0,GSM8698011
1342890-0,4,GSM8698011
1344809-0,7,GSM8698011
1345970-0,4,GSM8698011
1346745-0,4,GSM8698011
1347075-0,0,GSM8698011
1347913-0,1,GSM8698011
1350202-0,10,GSM8698011
1351703-0,0,GSM8698011
1354764-0,7,GSM8698011
1356302-0,5,GSM8698011
1356687-0,0,GSM8698011
1357524-0,2,GSM8698011
1360572-0,2,GSM8698011
1362087-0,6,GSM8698011
1476943-0,0,GSM8698011
1478024-0,5,GSM8698011
1479630-0,0,GSM8698011
1481521-0,6,GSM8698011
1482302-0,11,GSM8698011
1482627-0,7,GSM8698011
1484567-0,6,GSM8698011
1484985-0,3,GSM8698011
1487317-0,2,GSM8698011
1489203-0,8,GSM8698011
1489561-0,4,GSM8698011
1489952-0,0,GSM8698011
1490353-0,1,GSM8698011
1491500-0,8,GSM8698011
1492684-0,12,GSM8698011
1494566-0,8,GSM8698011
1497269-0,0,GSM8698011
1502623-0,0,GSM8698011
1504901-0,0,GSM8698011
1505333-0,0,GSM8698011
1505352-0,0,GSM8698011
1506127-0,2,GSM8698011
1506864-0,5,GSM8698011
1507263-0,3,GSM8698011
1507644-0,7,GSM8698011
1507665-0,0,GSM8698011
1508023-0,3,GSM8698011
1509167-0,4,GSM8698011
1510691-0,0,GSM8698011
1624321-0,3,GSM8698011
1625535-0,5,GSM8698011
1626662-0,7,GSM8698011
1626670-0,0,GSM8698011
1629339-0,7,GSM8698011
1632003-0,9,GSM8698011
1632387-0,11,GSM8698011
1632431-0,5,GSM8698011
1634340-0,8,GSM8698011
1635860-0,11,GSM8698011
1639358-0,3,GSM8698011
1639697-0,9,GSM8698011
1640148-0,10,GSM8698011
1643990-0,11,GSM8698011
1644707-0,3,GSM8698011
1646632-0,8,GSM8698011
1646658-0,6,GSM8698011
1647014-0,8,GSM8698011
1647812-0,0,GSM8698011
1648153-0,2,GSM8698011
1648172-0,3,GSM8698011
1651603-0,2,GSM8698011
1653179-0,2,GSM8698011
1656613-0,3,GSM8698011
1657802-0,11,GSM8698011
1658113-0,8,GSM8698011
1658131-0,2,GSM8698011
1770701-0,2,GSM8698011
1773313-0,0,GSM8698011
1779100-0,7,GSM8698011
1779866-0,6,GSM8698011
1780249-0,7,GSM8698011
1785246-0,7,GSM8698011
1785311-0,0,GSM8698011
1788701-0,0,GSM8698011
1788725-0,0,GSM8698011
1789094-0,11,GSM8698011
1793319-0,1,GSM8698011
1793322-0,3,GSM8698011
1793728-0,7,GSM8698011
1794123-0,7,GSM8698011
1795251-0,8,GSM8698011
1795255-0,9,GSM8698011
1796013-0,1,GSM8698011
1796432-0,5,GSM8698011
1796743-0,1,GSM8698011
1797154-0,3,GSM8698011
1797954-0,1,GSM8698011
1797977-0,5,GSM8698011
1798713-0,0,GSM8698011
1798730-0,1,GSM8698011
1799091-0,5,GSM8698011
1800987-0,10,GSM8698011
1801383-0,0,GSM8698011
1804084-0,0,GSM8698011
1805606-0,6,GSM8698011
1805991-0,7,GSM8698011
1917396-0,2,GSM8698011
1917772-0,4,GSM8698011
1918494-0,2,GSM8698011
1918913-0,1,GSM8698011
1919274-0,3,GSM8698011
1925020-0,11,GSM8698011
1926615-0,13,GSM8698011
1927391-0,13,GSM8698011
1928859-0,0,GSM8698011
1931155-0,8,GSM8698011
1931564-0,11,GSM8698011
1931567-0,0,GSM8698011
1933508-0,2,GSM8698011
1935437-0,1,GSM8698011
1936172-0,8,GSM8698011
1936204-0,5,GSM8698011
1937731-0,6,GSM8698011
1938051-0,1,GSM8698011
1941517-0,1,GSM8698011
1942324-0,0,GSM8698011
1943085-0,1,GSM8698011
1943818-0,0,GSM8698011
1944636-0,8,GSM8698011
1945749-0,3,GSM8698011
1946919-0,1,GSM8698011
1947710-0,1,GSM8698011
1948803-0,2,GSM8698011
1950382-0,9,GSM8698011
