,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
0,CD14:MPHIP9|CD14|AHS0037|pAbO,26.38399,8.534917082361708e-151,CD28:L293|CD28|AHS0138|pAbO,25.309303,1.0295267687162346e-138,CD14,21.643265,2.869979244828463e-101,CCL5,18.736437,1.0192226826169242e-75,CD127|IL7R|AHS0028|pAbO,17.001827,1.0825676153049914e-62,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,22.535246,7.645834125132415e-110,GNLY,19.253887,5.343027233253465e-80,FCGR3A,19.61696,4.5199652978102754e-83,CXCL8,17.004498,3.1030455449221556e-62,HLA-DR|CD74|AHS0035|pAbO,12.738825,1.4678799077951584e-34,IGHM_membrane,16.158913,2.5110135472713036e-56,IGLC3,16.404045,7.299881615679033e-58,IGKC,9.93557,1.1893412889651628e-20,IL3RA,6.395503,2.6170349251653116e-08
1,S100A9,24.92572,7.988973267296756e-135,CD279:EH12-1|PDCD1|AHS0014|pAbO,23.152037,2.828766307979824e-116,DUSP1,21.556293,9.428465056974852e-101,IL32,17.426409,1.0610309030134182e-65,CD3:UCHT1|CD3E|AHS0231|pAbO,16.675768,1.6542286081512976e-60,GNLY,22.283014,1.1015681141512713e-107,NKG7,18.042337,1.848833230913085e-70,IFITM3,15.031336,9.33670634867745e-49,S100A9,13.963372,5.32024232085728e-42,HLA-DPA1,12.636459,2.711262106123118e-34,IGKC,16.14503,2.5110135472713036e-56,CD79A,14.485562,3.0496734290448283e-45,CD19:SJ25C1|CD19|AHS0030|pAbO,9.608088,1.507745868105555e-19,JCHAIN,6.373866,2.6170349251653116e-08
2,CD14,24.568617,3.72077424399779e-131,CD4:SK3|CD4|AHS0032|pAbO,22.886648,8.583068714433706e-114,FCN1,20.940454,3.118003779121777e-95,CD8:SK1|CD8A|AHS0228|pAbO,17.286919,8.027193571750101e-65,CD27:M-T271|CD27|AHS0025|pAbO,16.207108,2.6182919823776573e-57,NKG7,21.85517,9.440092169834859e-104,CCL5,17.796291,1.0268767183451046e-68,CD16:3G8|FCGR3A|AHS0053|pAbO,14.267406,3.563162505877859e-44,CD14,13.532309,1.3709855064233335e-39,HLA-DRA,11.867582,2.3723236359391434e-30,IGHD_membrane,15.649519,4.55244105967838e-53,CD19:SJ25C1|CD19|AHS0030|pAbO,14.268874,4.651985910139206e-44,IGHG2_secreted,8.553086,1.6298219420511356e-15,IRF8,6.3672647,2.6170349251653116e-08
3,FCN1,23.579544,6.374976841140658e-121,CD278|ICOS|AHS0012|pAbO,22.322577,2.2751450813933833e-108,S100A9,20.672167,6.291874884927171e-93,CD8A,16.586603,8.885083814968188e-60,CD28:L293|CD28|AHS0138|pAbO,15.165984,2.692898181985873e-50,CTSW,21.82237,1.451364767171891e-103,GZMH,17.257942,9.94743461587546e-65,LYN,13.431965,3.2056318852344275e-39,S100A12,13.169462,1.0778546525458503e-37,HLA-DQB1,11.538849,8.572347370552383e-29,CD19:SJ25C1|CD19|AHS0030|pAbO,15.60246,7.144312062653803e-53,CXCR5|CXCR5|AHS0039|pAbO,13.419092,4.767545513955883e-39,CD196|CCR6|AHS0034|pAbO,8.093657,4.7246239493822284e-14,GZMB,6.171061,6.918989519215996e-08
4,S100A12,23.473051,6.27456427472109e-120,RGS1,21.395191,1.2086797979357955e-99,EGR1,20.47979,2.66068456492899e-91,CD3E,15.753633,5.291519409379609e-54,IL7R,14.745184,1.0370036272460081e-47,IL2RB,21.626766,8.208229176817583e-102,CD3:UCHT1|CD3E|AHS0231|pAbO,17.070305,2.014731921537006e-63,HLA-DR|CD74|AHS0035|pAbO,13.3291445,1.0654570119029369e-38,FCN1,13.169142,1.0778546525458503e-37,CD74,11.079546,1.2865928042031345e-26,CD79A,15.469327,4.5604704084355024e-52,CD196|CCR6|AHS0034|pAbO,12.847632,6.030481691199579e-36,IGHG1_secreted,7.557713,2.7894829704243875e-12,IGKC,5.9678893,1.9611913819981045e-07
5,TGFBI,23.003674,2.9123375401187244e-115,TRAC,20.820465,1.9205497109449761e-94,IFITM3,19.593317,1.1989873114319828e-83,CD3D,15.551112,1.0632964616948508e-52,PIK3IP1,13.463288,6.996131727764214e-40,PRF1,20.684193,3.269131271021833e-93,CD8:SK1|CD8A|AHS0228|pAbO,16.900812,3.01753863665341e-62,CD11c:B-LY6|ITGAX|AHS0056|pAbO,13.00927,5.526994917528624e-37,CD14:MPHIP9|CD14|AHS0037|pAbO,13.144377,1.2465111488021644e-37,CLEC10A,10.749002,4.0735868155030977e-25,IgM|IGHM|AHS0198|pAbO,15.408527,9.040739202070726e-52,IgM|IGHM|AHS0198|pAbO,12.749752,1.8228254626459844e-35,IGHA1_secreted,6.841724,3.192426004915786e-10,IGHM_membrane,5.58025,1.633178452033002e-06
6,LGALS3,21.767712,2.73645225606159e-103,CD27:M-T271|CD27|AHS0025|pAbO,20.548502,4.626402392244347e-92,C10orf54,19.44895,1.7337522359270328e-82,CST7,15.114771,7.543372975462073e-50,TRAC,13.174754,2.501590992702613e-38,CST7,20.161537,1.2423939808694892e-88,CST7,16.131962,8.865973594088295e-57,CX3CR1,12.903523,1.949245591921869e-36,TGFBI,12.653734,6.217994916462821e-35,HLA-DMA,10.28836,4.634829694448844e-23,IgD|IGHD|AHS0058|pAbO,15.403473,9.040739202070726e-52,IgD|IGHD|AHS0058|pAbO,12.593186,1.0435278604952438e-34,CD79A,6.367038,6.552267336104594e-09,CD183|CXCR3|AHS0031|pAbO,5.532574,1.8392920391306145e-06
7,ITGB2,21.652473,2.937850398107354e-102,TRBC2,18.717335,1.4589961319143618e-76,FCER1G,19.055693,3.0054699888459846e-79,NKG7,14.934949,9.95637812161817e-49,LEF1,13.13718,3.916787487662286e-38,CD45RA:HI100|PTPRC|AHS0009|pAbO,19.800737,1.496157473276062e-85,GZMB,15.315738,3.0613942095202914e-51,ADA,12.079025,4.6351159178294034e-32,GAPDH,12.248588,8.718281919456221e-33,CD11c:B-LY6|ITGAX|AHS0056|pAbO,8.65561,1.5387284547783798e-16,CXCR5|CXCR5|AHS0039|pAbO,15.171949,2.7663104521109603e-50,CD79B,12.059052,5.908227693463324e-32,CD272|BTLA|AHS0052|pAbO,5.9441757,7.557559223349115e-08,MZB1,5.4214535,3.0149380019667774e-06
8,C10orf54,21.469458,1.3623003053829158e-100,CD3:UCHT1|CD3E|AHS0231|pAbO,18.33119,1.5863824950452702e-73,CD14:MPHIP9|CD14|AHS0037|pAbO,18.998425,7.966951818829887e-79,KLRK1,14.811707,5.579386374282163e-48,CCR7,12.623404,2.7831219337771626e-35,CD161:HP-3G10|KLRB1|AHS0205|pAbO,19.721031,6.4508212259827e-85,PRF1,14.696063,3.0970892613385477e-47,FCER1G,11.885906,4.0831109675471575e-31,ITGB2,12.174355,1.9300566629724465e-32,ANXA5,8.093339,1.6917681287027116e-14,IGHM_secreted,14.955164,6.533743884326443e-49,IGHM_membrane,11.980302,1.4144392239165621e-31,CD45RA:HI100|PTPRC|AHS0009|pAbO,5.7814827,1.777082249725185e-07,CD45RA:HI100|PTPRC|AHS0009|pAbO,5.0935917,1.5927553481289248e-05
9,CD11c:B-LY6|ITGAX|AHS0056|pAbO,20.889177,2.7403406234658347e-95,CD3D,16.864935,1.9558167245247196e-62,CD11c:B-LY6|ITGAX|AHS0056|pAbO,18.992476,8.030568679499956e-79,CD3:UCHT1|CD3E|AHS0231|pAbO,14.6144905,9.2634468248515e-47,CD3E,12.094586,1.643779402096283e-32,KLRB1,19.418404,2.2007432539932377e-82,IL32,14.510919,4.215735296577363e-46,Tim3|HAVCR2|AHS0016|pAbO,11.633565,7.094846690417029e-30,C10orf54,12.145237,2.463763297958847e-32,LILRB4,7.833876,1.206291236528953e-13,MS4A1,14.038469,3.698501743547457e-43,IGHD_membrane,11.728158,2.486811222041701e-30,CXCR5|CXCR5|AHS0039|pAbO,5.6519804,3.595151181424636e-07,ADA,5.0275793,2.0229633558288584e-05
10,LGALS1,20.6283,5.672381393440355e-93,CD3E,16.84055,2.643130143325117e-62,S100A12,18.878357,6.374078375266489e-78,TRBC2,14.549644,2.177517958396235e-46,TRBC2,11.604372,5.153304904198407e-30,CD16:3G8|FCGR3A|AHS0053|pAbO,18.796003,3.0201435525122063e-77,GZMA,14.119411,1.0696609195300584e-43,PIK3AP1,11.526999,2.314736276792058e-29,CD163,12.138006,2.463763297958847e-32,IFITM3,7.582117,7.22768579398456e-13,CD79B,13.506934,5.278981941040793e-40,MS4A1,11.599065,1.0623413278222372e-29,MS4A1,5.186611,3.495017166985602e-06,HLA-DR|CD74|AHS0035|pAbO,5.009609,2.0229633558288584e-05
11,CLEC4E,20.598478,9.628881956665174e-93,CD25:2A3|IL2RA|AHS0026|pAbO,16.760008,9.762697271230898e-62,S100A10,18.787657,3.240047171290989e-77,CD27:M-T271|CD27|AHS0025|pAbO,14.344878,3.8998720495655227e-45,IL32,11.1199875,1.2034356571347205e-27,CD247,18.618546,7.728438180359511e-76,CD3E,14.108059,1.1518336563843215e-43,HLA-DPA1,11.118934,2.0701322168840803e-27,CTSD,11.938473,2.535722835929145e-31,LGALS3,7.222834,9.031892298153148e-12,CD22,13.294562,7.812398461378136e-39,HLA-DR|CD74|AHS0035|pAbO,11.4279,6.876045854358161e-29,CD183|CXCR3|AHS0031|pAbO,4.6140995,5.033746909901521e-05,BLNK,4.9623003,2.3685482784305207e-05
12,CD163,20.319021,2.739904639138463e-90,CD2,16.630774,7.400253875576998e-61,LGALS3,18.732693,8.411548644481573e-77,CD279:EH12-1|PDCD1|AHS0014|pAbO,14.196309,3.03070944989208e-44,CD6,10.600675,2.7432356583549797e-25,KLRK1,17.576374,1.172912027160482e-67,CD8A,14.0504465,2.4024738206726005e-43,ITGAX,10.912473,1.952278167702526e-26,DUSP1,11.915627,3.0796296207770457e-31,LAP3,7.1633444,1.338446294296684e-11,CD196|CCR6|AHS0034|pAbO,13.072152,1.3843478840268405e-37,IGHM_secreted,11.353538,1.5293951595141764e-28,CD79B,4.1347547,0.00038151648607763185,TLR9,4.589697,0.00012936229330732076
13,S100A10,20.24557,1.1327087095576653e-89,IL32,16.237589,3.9847208072695544e-58,ITGB2,18.706383,1.2799336535666226e-76,LCK,13.625304,7.703779961732478e-41,TCF7,10.549874,4.511493750945865e-25,GZMB,17.54188,1.999768385029782e-67,CTSW,13.354381,3.2547628327505006e-39,IFITM2,10.797187,6.581958558415323e-26,LGALS1,11.740219,2.310468016422864e-30,LGALS9,7.03579,3.133189159438223e-11,HLA-DR|CD74|AHS0035|pAbO,12.736899,9.095784530102319e-36,CD22,11.26328,4.063737586682849e-28,POU2AF1,3.932815,0.0008155806349607924,CD74,4.3821244,0.0003117803093112393
14,GAPDH,20.18466,3.632413592162887e-89,CD272|BTLA|AHS0052|pAbO,15.773779,6.41137311188699e-55,GAPDH,18.45879,1.2053871301540862e-74,TRAC,13.132861,5.122473318636963e-38,CD3D,10.432257,1.5014628626937852e-24,CD7,16.968927,3.7931725123624733e-63,CD3D,12.715449,1.2375477045735507e-35,CD300A,10.505286,1.388472506269901e-24,ITGAM,11.592777,1.2195307616467765e-29,LGALS1,7.034718,3.133189159438223e-11,TCL1A,11.495988,2.4513989402265282e-29,CD45RA:HI100|PTPRC|AHS0009|pAbO,10.003063,2.3186202935651833e-22,JCHAIN,3.8996243,0.0008363311578483884,CXCR3,4.373506,0.0003117803093112393
15,CTSD,19.860992,2.2578375347603706e-86,CD27,15.111782,1.6251145018044584e-50,HLA-DRA,18.370771,5.7423180584182936e-74,CTSW,13.069401,1.116380737239353e-37,LTB,10.175759,1.9961147827190922e-23,TRDC,16.833042,3.5632081145106986e-62,KLRK1,12.221502,5.727182367406504e-33,BCL2A1,10.373029,5.368125062756194e-24,SELL,11.429272,7.614336431032235e-29,S100A10,6.6683345,3.7699608891779314e-10,VPREB3,11.164366,1.0357180835796881e-27,VPREB3,9.64635,6.927372908988584e-21,CD25:2A3|IL2RA|AHS0026|pAbO,3.866084,0.0009208875774831021,RNASE6,4.1976566,0.0006113004559603467
16,TNFSF13,19.526627,1.5649672217246224e-83,CD6,14.100625,3.571606403472065e-44,CTSD,18.24995,4.970412535815879e-73,IL2RB,13.030168,1.7699980370889303e-37,LCK,9.671731,2.9494377364685695e-21,GZMA,16.082582,8.111823672731232e-57,CD6,11.643525,5.0503665538010005e-30,CD79B,10.3305435,8.04535802556902e-24,CLEC4E,11.379677,1.2670821535719119e-28,TGFBI,6.6599603,3.8535125344748107e-10,CD45RA:HI100|PTPRC|AHS0009|pAbO,9.884582,6.280128489049353e-22,CD272|BTLA|AHS0052|pAbO,9.204055,4.394819105624999e-19,CD22,3.6828945,0.0017423164810588807,TCF4,4.0770006,0.0009306565147537066
17,CD74,19.305403,1.0965377824152953e-81,LCK,12.836485,8.193664780781432e-37,CD74,17.941444,1.2689210185502887e-70,GZMA,12.947496,4.951934456176124e-37,CD27,8.736419,1.609367437711169e-17,CCL5,14.547865,1.2938927442632283e-46,TRAC,11.382521,9.4769514877212e-29,TNFSF10,10.228132,2.241784478743268e-23,LGALS3,11.363871,1.4342984684770227e-28,ITGAX,6.617487,4.658299642359488e-10,CD272|BTLA|AHS0052|pAbO,9.836169,9.723811658553124e-22,TCL1A,9.006281,2.4848787179367398e-18,HLA-DR|CD74|AHS0035|pAbO,3.5296345,0.003031833694961194,IRF4,3.9136198,0.0016862049632040122
18,FCER1G,18.663275,2.11526101470605e-76,CD5,12.026858,2.0144572780781966e-32,ANXA5,17.794773,1.6659443593182862e-69,CD8B,11.814854,5.560986491678362e-31,MYC,8.730393,1.6700875530117938e-17,KLRF1,14.459385,4.4624024865668646e-46,CCL4,11.240877,4.555709766454771e-28,CXCL16,9.888068,6.598215993395114e-22,LAT2,11.344608,1.693821914843471e-28,Tim3|HAVCR2|AHS0016|pAbO,6.124687,9.267905907745165e-09,PAX5,8.924672,4.6765333227174356e-18,FCER2,7.0017843,1.9829029541217854e-11,CCR7|CCR7|AHS0273|pAbO,3.2345278,0.00789085185059031,CD272|BTLA|AHS0052|pAbO,3.818085,0.0023857638251047354
