barcode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
9-0,2.5221493,-1.2961743,-0.83970636,-0.5025941,-0.24252544,-0.16203086,-0.10483258,-0.0059442814,0.25790557,-0.46430993,-0.13371567,-0.16198078,0.20229511,0.78645283,1.0975221,0.037217047,-0.24131753,0.5162395,0.14780353,0.15440023,0.15886368,0.075115934,0.26063582,0.21525642,-0.09026351,-0.5267331,0.21018389,0.085979044,0.0031689547,0.53385264,0.2711827,0.605706,-0.18522006,0.17496382,0.121065065,-0.05912254,0.19145255,-0.072176285,-0.062240746,0.06897512,0.14960618,0.055360418,0.10377574,0.06982721,-0.0010308238,0.027965678,0.11977601,-0.010005487,-0.011002865,0.03425996
409-0,-0.9619024,1.4467946,1.995821,-1.9225117,0.64465034,-1.744236,2.0898256,0.024589892,-1.0091826,-0.760856,0.13231017,-0.14049187,-0.08790274,1.1053581,-0.091971695,-0.5055442,1.26808,0.32174662,0.40922984,-1.1767896,-0.870541,-0.40314507,-0.64976525,0.5596494,-0.8555621,0.504347,0.06879612,-0.30265892,-0.20044622,-0.30537957,0.37909257,-0.4236107,0.22123335,0.46176445,-0.04086416,0.02064073,-0.2595703,-0.530319,0.19038466,-0.3022787,-0.016207436,0.102725275,0.12108809,-0.32258332,-0.068656415,0.16130494,-0.014143232,-0.21453293,0.09920206,-0.12646782
2694-0,-0.5689001,1.6534343,1.9002407,-0.6728022,-0.4739856,-0.028085688,0.19421366,0.76019585,0.2438427,-0.32683766,0.67905486,-0.3818907,0.40195286,-0.025805732,-0.26703662,0.7933154,0.34463954,-0.6112159,0.757655,1.5033572,-0.49019402,0.21964198,0.32706112,-0.30242118,1.3674926,0.19067368,-0.17803897,-0.3530081,0.48095372,0.1721071,-0.13869749,0.3825842,0.41377857,0.4516686,-0.18361327,0.6142327,0.78159493,-0.6619572,-0.1502153,-0.13798878,-0.10160752,0.2226658,0.018015146,0.40429685,0.003040261,0.20884606,0.5590884,-0.4790141,0.031735174,0.14858164
2741-0,0.23243023,0.09737422,0.22645298,2.6147645,0.92136383,0.33485523,0.9988511,0.7089448,-0.09317573,-0.15680838,0.69122255,-0.3735477,-0.100059584,0.09469662,-0.024484405,-0.22663982,-0.050803266,0.35082012,0.33078182,-0.11262229,0.2220826,0.07905658,-0.039651036,-0.13488431,-0.075420104,-0.21528023,0.07032047,-0.11023639,-0.017890759,-0.09221601,-0.119133174,-0.09351369,-0.05201962,-0.07640309,-0.16173027,-0.012007219,-0.0981727,0.08494304,-0.05254858,0.011893349,0.09434602,-0.24358463,-0.10820843,0.08003837,0.47150582,0.023700982,0.13341057,0.12727681,0.09770028,0.055156697
4287-0,2.0407588,-1.1884271,0.1304426,-0.25070813,-0.16885938,0.1776301,-0.05314988,0.08988357,0.026878433,0.665205,-0.14102378,0.23644395,0.12640838,-0.4224278,-0.859421,0.1978642,0.1268116,0.6330693,-0.41361704,0.07530766,-1.0507098,-0.25547963,-0.087691434,0.1787968,0.12947586,0.33911732,-0.04528474,-0.11366775,0.14815064,0.3004952,0.11240922,-0.0717048,0.23864625,-0.032058213,0.019626439,0.11265737,0.015008938,-0.00064417353,-0.013068064,-0.05788534,-0.22483313,-0.080284506,-0.105883546,-0.028890794,-0.043538388,-0.08329123,-0.048110314,-0.054534204,0.050528526,-0.0668924
4670-0,1.8061442,3.668234,-2.8985562,-0.7754022,-0.034955714,0.38288036,0.066642016,0.24245474,0.869959,-0.43021747,-1.0884702,-1.4480556,-0.08390097,-0.2575509,-0.38741547,-0.6457265,-0.32048053,-0.20859656,-0.3728129,0.39063862,-0.0915262,0.5272737,0.05427933,0.23704334,0.18207638,0.022642585,-0.014455409,-0.10948231,-0.0073733535,0.3212333,0.06268589,0.24954323,0.008349825,0.15482304,0.1315563,0.13257134,0.029588,0.09401024,-0.0044827457,0.05446149,0.031962853,0.18550725,-0.054304652,-0.13891612,-0.4253506,0.20563988,0.19563444,0.5355725,0.75497484,-0.18697299
4682-0,0.26452738,0.8118665,1.2478216,1.011848,-0.55413187,0.16133355,-0.63385105,-0.21608914,-0.5605794,0.16092636,0.1680259,-0.1677552,0.18741953,0.07672896,-0.06754344,0.30959055,0.076940835,-0.03359109,-0.03891269,-0.0059525636,0.07013529,0.12860855,-0.065563,-0.10426441,-0.05248826,0.044616066,-0.14422299,0.31089127,-0.0744673,-0.07583382,0.19141832,0.058760777,0.037245598,-0.28156352,-0.07012906,-0.052310728,-0.2735059,0.31523287,0.2381111,0.08070107,-0.11693743,0.13931027,0.008572557,0.0047211144,0.009850402,0.040266324,-0.14241497,-0.06338042,0.027009256,-0.040126882
5442-0,-4.7212415,-0.9485132,-2.0236585,-0.6159813,-1.5757496,0.6353763,0.09006003,0.7431663,-0.66787785,0.48518544,-0.0868817,-0.088951595,-0.961525,1.1319299,0.124301024,0.37279907,0.540079,0.06693135,-0.28127557,-0.6554991,-0.057202473,-0.41789716,-0.3247523,0.72089183,-0.60425645,0.3023985,-0.17285022,0.5666671,-0.6786922,0.12117366,-0.3746641,0.13735464,-0.011692355,0.18599045,-0.17857334,0.055822328,0.07070452,0.1471744,-0.23453502,-0.31181347,0.21677426,0.006107109,0.14841904,0.17192063,-0.04067189,-0.14269054,0.12554377,0.09670207,0.24960247,-0.11734727
6226-0,-0.13080136,0.84321,1.7850739,-0.024597874,0.63041335,-1.8736671,0.64538586,-0.8918533,-0.20361695,-0.5908704,-0.050465442,0.034604903,-0.5072296,0.67436683,-0.12366084,0.6496855,0.6578145,-0.24260746,-0.04899193,-0.10260941,-0.16089983,0.32091144,-0.0021090894,-0.6349267,-0.12253595,-0.22167735,-0.090583645,-0.2640424,-0.4566943,-0.10664164,-0.2273719,-0.35842896,-0.072818354,0.3839161,-0.12038681,0.19585425,0.3118029,0.02680113,-0.41956764,-0.10443798,0.39585075,-0.42587575,-0.26352683,0.036837142,0.22240075,0.2806735,-0.06329594,-0.030522296,0.07788998,0.07918841
6611-0,2.5272827,-1.37769,-0.9776593,-0.3613399,0.17937815,0.41372308,0.379561,0.580693,0.21644826,-0.5590348,-0.10432461,-0.10925566,-0.013141144,0.01829242,-0.010805838,0.1088856,0.17371216,1.3026787,0.01846695,0.5695131,-1.0449408,-0.14990848,0.7048273,0.059892893,-0.4261684,-0.8442482,-0.051352993,0.3646548,0.08948337,0.14171389,-0.040552083,0.33750048,-0.16538656,0.032741915,0.020172587,-0.11430554,0.1874949,-0.060934413,-0.034590006,0.0768784,0.01791543,-0.081091434,0.0080114165,-0.037728384,-0.20180535,-0.10178743,0.032806244,-0.049159676,0.046452563,-0.011373733
