barcode,total_counts_mt,total_counts,n_genes_by_counts
9-0,0.0,4449.0,112
409-0,0.0,1744.0,68
2694-0,0.0,2278.0,91
2741-0,0.0,6974.0,103
4287-0,0.0,7376.0,118
4670-0,0.0,27001.0,165
4682-0,0.0,14235.0,79
5442-0,0.0,6830.0,103
6226-0,0.0,2807.0,74
6611-0,0.0,3854.0,115
9279-0,0.0,3396.0,122
10056-0,0.0,14210.0,106
14270-0,0.0,4577.0,121
16524-0,0.0,3647.0,94
18839-0,0.0,4100.0,118
20061-0,0.0,4968.0,111
22708-0,0.0,11718.0,151
23445-0,0.0,3483.0,78
23852-0,0.0,2847.0,116
23898-0,0.0,2049.0,111
24665-0,0.0,3940.0,69
25015-0,0.0,8836.0,87
26967-0,0.0,13164.0,121
28803-0,0.0,2497.0,88
30385-0,0.0,8740.0,100
31922-0,0.0,2090.0,133
33794-0,0.0,11025.0,102
35019-0,0.0,644.0,71
36496-0,0.0,4900.0,98
149830-0,0.0,11102.0,98
152480-0,0.0,9615.0,128
152877-0,0.0,11256.0,71
155147-0,0.0,12601.0,105
155223-0,0.0,7031.0,102
157913-0,0.0,6108.0,115
158612-0,0.0,6515.0,103
158688-0,0.0,3648.0,128
160952-0,0.0,2320.0,72
162527-0,0.0,10148.0,110
164741-0,0.0,4913.0,116
165568-0,0.0,3031.0,77
165929-0,0.0,23486.0,81
165954-0,0.0,4116.0,129
169435-0,0.0,13711.0,75
169817-0,0.0,8374.0,122
172458-0,0.0,17610.0,92
172888-0,0.0,8358.0,78
174781-0,0.0,6703.0,122
175186-0,0.0,2741.0,83
178252-0,0.0,1600.0,102
178947-0,0.0,6195.0,101
180098-0,0.0,1194.0,84
181315-0,0.0,6299.0,130
182453-0,0.0,1065.0,66
295311-0,0.0,3565.0,69
295717-0,0.0,4850.0,81
296139-0,0.0,4319.0,128
296918-0,0.0,3561.0,116
297632-0,0.0,8824.0,96
299528-0,0.0,9838.0,74
299577-0,0.0,8613.0,101
301483-0,0.0,4856.0,117
301861-0,0.0,7077.0,76
301875-0,0.0,4097.0,76
303064-0,0.0,4956.0,76
303766-0,0.0,3843.0,108
303802-0,0.0,6213.0,78
305315-0,0.0,904.0,69
308789-0,0.0,6844.0,116
309526-0,0.0,9020.0,129
309566-0,0.0,18033.0,110
312278-0,0.0,1710.0,98
313408-0,0.0,228.0,31
313744-0,0.0,9279.0,73
314143-0,0.0,4665.0,119
314146-0,0.0,5950.0,97
316491-0,0.0,4321.0,96
317584-0,0.0,10248.0,83
317964-0,0.0,1530.0,68
319923-0,0.0,4972.0,120
319930-0,0.0,3071.0,78
323002-0,0.0,5770.0,99
323362-0,0.0,4219.0,81
324877-0,0.0,4593.0,110
327191-0,0.0,5377.0,125
328394-0,0.0,3810.0,72
442782-0,0.0,793.0,82
442783-0,0.0,5581.0,114
443209-0,0.0,29300.0,107
447410-0,0.0,4540.0,112
447425-0,0.0,5030.0,123
447835-0,0.0,12659.0,114
448203-0,0.0,6852.0,128
449677-0,0.0,7716.0,68
452040-0,0.0,12748.0,101
452365-0,0.0,2959.0,117
452790-0,0.0,1692.0,75
462403-0,0.0,7717.0,76
464652-0,0.0,13484.0,87
467770-0,0.0,3894.0,105
470817-0,0.0,6076.0,72
590986-0,0.0,4152.0,126
591790-0,0.0,4582.0,80
591800-0,0.0,5488.0,118
592145-0,0.0,9655.0,118
594128-0,0.0,3138.0,112
595215-0,0.0,3795.0,138
596428-0,0.0,31933.0,126
597907-0,0.0,4596.0,117
598314-0,0.0,5912.0,101
599067-0,0.0,14293.0,126
599879-0,0.0,1712.0,116
600624-0,0.0,6267.0,83
600970-0,0.0,7113.0,71
603305-0,0.0,3623.0,68
607930-0,0.0,6159.0,86
609446-0,0.0,4366.0,140
611352-0,0.0,5081.0,82
614787-0,0.0,1453.0,80
616372-0,0.0,10379.0,76
616767-0,0.0,5284.0,118
