barcode,UMAP1,UMAP2
9-0,18.452047,9.200706
409-0,10.976996,7.638018
2694-0,10.557506,9.740097
2741-0,17.077461,14.690898
4287-0,18.862923,9.021086
4670-0,-1.8426462,12.702397
4682-0,13.186146,10.875998
5442-0,12.213894,17.105986
6226-0,12.088208,7.8795996
6611-0,19.154787,9.422439
9279-0,21.188587,9.1617155
10056-0,16.771513,14.584173
14270-0,19.032305,6.8332715
16524-0,11.7374325,12.494303
18839-0,20.147842,11.077137
20061-0,19.864986,7.327827
22708-0,9.238231,11.2656765
23445-0,10.0702915,13.029202
23852-0,19.84014,11.853843
23898-0,20.746637,8.420744
24665-0,11.745888,9.893495
25015-0,10.370544,9.251865
26967-0,17.917341,11.428257
28803-0,11.927861,15.327842
30385-0,13.0038395,12.253157
31922-0,18.859444,9.470714
33794-0,9.089728,8.98981
35019-0,12.316899,16.40083
36496-0,11.123433,15.962703
149830-0,11.579679,12.264592
152480-0,19.416353,11.085626
152877-0,11.531154,8.955368
155147-0,10.940074,-0.09528248
155223-0,12.493989,15.141655
157913-0,19.034948,10.1007185
158612-0,11.682827,12.376174
158688-0,19.33436,9.670493
160952-0,10.711257,7.8917217
162527-0,15.944299,15.049925
164741-0,20.564867,12.285987
165568-0,9.857884,13.084222
165929-0,-1.1752434,12.5961895
165954-0,19.589966,9.33781
169435-0,15.880186,14.072284
169817-0,20.993084,10.238075
172458-0,-2.421115,13.013685
172888-0,11.571292,8.353965
174781-0,17.574453,9.409823
175186-0,11.096693,17.294573
178252-0,21.0085,10.649956
178947-0,10.417361,15.225804
180098-0,13.17839,16.71982
181315-0,19.101986,10.900064
182453-0,16.301874,8.200102
295311-0,16.086205,11.604378
295717-0,11.709857,14.9907465
296139-0,19.085312,11.41459
296918-0,18.96988,9.541782
297632-0,12.402364,10.468112
299528-0,12.751989,12.225425
299577-0,12.580738,16.053663
301483-0,18.806755,6.553932
301861-0,9.71205,8.705247
301875-0,10.8257885,15.447918
303064-0,13.124451,13.684782
303766-0,18.217436,6.92049
303802-0,10.856876,12.050711
305315-0,11.17464,16.59797
308789-0,20.03688,10.039514
309526-0,18.24825,7.136345
309566-0,17.131975,14.074276
312278-0,10.879077,15.552187
313408-0,11.117411,10.64531
313744-0,-2.8086376,10.322255
314143-0,18.14702,8.611842
314146-0,19.551968,11.031286
316491-0,17.193155,14.9815855
317584-0,10.404705,9.507608
317964-0,9.675045,9.164702
319923-0,18.635273,7.1541677
319930-0,10.083968,13.026525
323002-0,19.471453,9.669617
323362-0,11.474646,8.331238
324877-0,18.994457,10.380663
327191-0,17.741058,8.48545
328394-0,9.456529,12.462142
442782-0,9.9567585,8.8827305
442783-0,21.184063,9.429084
443209-0,17.15799,11.314743
447410-0,17.346724,14.317308
447425-0,20.320847,10.984756
447835-0,10.066957,10.324127
448203-0,18.49959,7.8572516
449677-0,-1.9753236,10.498041
452040-0,10.968231,-0.0056504495
452365-0,12.559926,16.9164
452790-0,10.691986,9.036144
462403-0,10.278061,9.125245
464652-0,10.339964,10.476636
467770-0,17.694588,15.087633
470817-0,-2.1099024,10.15305
590986-0,18.904594,8.255764
591790-0,12.06865,14.768265
591800-0,18.504444,11.010969
592145-0,12.195118,13.215686
594128-0,19.726824,12.354905
595215-0,9.845519,14.484109
596428-0,18.14916,11.927082
597907-0,21.290165,8.99973
598314-0,20.065191,12.500597
599067-0,17.33384,14.598237
599879-0,17.61335,7.501559
600624-0,9.562123,8.497869
600970-0,-2.0688393,10.254269
603305-0,11.681521,8.014908
607930-0,10.921011,13.726835
609446-0,20.39603,8.431508
611352-0,11.763984,8.054072
614787-0,11.69139,12.031543
616372-0,11.984833,9.434028
616767-0,17.287962,7.347658
617880-0,19.144989,9.188614
618272-0,14.175297,11.590817
619454-0,12.4271145,17.506607
620574-0,12.854056,11.531583
620994-0,16.789791,15.582953
622873-0,10.212249,7.9596496
622923-0,18.3015,9.599069
623265-0,9.809763,10.226343
625231-0,9.648281,12.861137
625561-0,-0.26439115,10.5494175
625625-0,18.65876,11.6983185
625922-0,10.859294,8.335905
626322-0,20.588142,9.423351
738868-0,20.155315,6.86594
738883-0,11.93234,18.377165
739661-0,17.486307,15.732305
739671-0,16.297487,14.107178
740438-0,10.356627,15.477184
741143-0,-1.321924,12.603409
741540-0,19.670715,6.9084973
741596-0,9.7987385,8.786018
741904-0,9.150861,10.083375
743482-0,12.603894,10.982853
745007-0,17.491056,15.40119
747335-0,12.676878,10.512163
747662-0,10.94764,15.137329
748421-0,-1.8798991,12.796236
749634-0,12.240035,12.798393
750730-0,18.748985,6.5868073
751917-0,17.236603,7.798586
753468-0,12.228093,13.206225
753832-0,19.967684,8.66367
755782-0,10.083669,13.213988
756483-0,9.064939,8.762198
760326-0,16.494562,11.384358
763840-0,10.868297,14.488492
766509-0,12.23388,13.191042
769941-0,17.6548,8.534466
770320-0,17.466242,8.105007
771106-0,-2.3247826,9.964876
771114-0,16.86878,14.89779
771504-0,12.525824,11.778867
886696-0,19.903667,12.326715
887089-0,18.00377,8.727214
887090-0,17.551455,8.703175
887491-0,-0.01793548,12.167252
887857-0,20.262712,8.889871
890906-0,12.72421,17.585506
892824-0,18.981724,8.5110655
895161-0,12.049608,18.146427
896259-0,20.231403,8.808265
896332-0,18.802162,9.97359
897467-0,11.118866,12.13281
898580-0,12.315276,14.372284
898990-0,19.687916,11.772973
899765-0,-2.4081352,12.689121
900919-0,16.406141,11.312844
903984-0,-2.9326,10.187392
904783-0,20.277122,9.041392
906633-0,13.700791,10.848023
910505-0,11.109254,15.184072
911271-0,11.924029,9.426743
913614-0,20.53357,11.1285095
915853-0,17.93806,10.672962
917417-0,11.40926,15.193667
917432-0,20.821943,8.309841
920149-0,11.350445,12.529435
920505-0,15.395364,10.755204
921245-0,11.287043,14.400722
1033049-0,10.517938,7.322479
1033746-0,18.91159,6.4631805
1035324-0,10.520448,11.394633
1035720-0,12.995076,11.948827
1036861-0,20.064741,8.854086
1037269-0,12.121891,13.978108
1039539-0,10.68381,16.082497
1043353-0,13.137836,11.5039015
1043356-0,12.4005165,11.711191
1044536-0,11.317261,10.42564
1045657-0,12.8638735,11.81667
1046445-0,12.7608185,17.098726
1047998-0,18.882555,7.120932
1048004-0,12.245785,16.33274
1050271-0,13.223239,10.6427355
1053774-0,20.592169,11.655178
1055622-0,18.946644,12.094718
1056387-0,11.443977,10.418604
1057192-0,12.87687,16.13471
1058002-0,13.032912,11.278031
1059163-0,11.119918,11.33634
1060647-0,20.36808,11.303139
1060656-0,17.341661,15.79337
1061084-0,11.537622,11.670733
1061441-0,19.454754,11.758827
1061765-0,11.484433,9.840672
1065262-0,11.921395,13.607094
1066831-0,17.201778,12.566143
1068368-0,11.420065,13.237132
1179702-0,17.505993,15.680558
1183577-0,-1.4056093,12.594842
1185088-0,10.048975,10.525089
1185431-0,10.984453,15.083369
1185468-0,12.151678,10.907256
1186607-0,10.475908,9.604866
1186950-0,18.63191,8.4620695
1187003-0,10.572583,10.447118
1190838-0,1.0972619,11.03835
1191979-0,10.926348,9.0433035
1193089-0,19.77904,9.538224
1196229-0,13.77431,11.100591
1197704-0,12.931816,16.193937
1198163-0,12.506845,14.290084
1208865-0,9.623657,11.979885
1209250-0,13.255838,14.063469
1209622-0,18.772366,11.354289
1209645-0,0.76548404,11.245656
1210019-0,-3.3566387,12.847212
1211167-0,13.22786,10.890953
1211228-0,17.488724,14.796274
1211910-0,12.492932,18.119015
1212731-0,9.850833,13.009867
1214304-0,12.89079,13.480689
1215833-0,18.998018,7.8434777
1328294-0,11.643386,11.887704
1329106-0,12.862057,11.269942
1329113-0,10.602916,10.150328
1329473-0,11.828265,17.806973
1329816-0,11.229938,10.132081
1330594-0,11.321265,7.9072723
1330956-0,17.383467,11.202867
1330967-0,10.1197815,12.802184
1331024-0,14.048832,10.571738
1331392-0,9.687281,10.83968
1332568-0,10.994719,14.747029
1332884-0,13.460314,11.6342125
1333663-0,17.510216,6.974283
1334486-0,19.411661,10.41914
1334829-0,18.978603,10.005144
1337158-0,18.543423,7.874174
1338659-0,20.282635,12.380153
1339820-0,9.771406,9.846919
1340201-0,20.035294,10.512748
1340229-0,9.530991,12.568805
1340633-0,20.288347,10.094832
1340638-0,12.007789,12.654543
1341004-0,19.82657,9.881292
1341739-0,20.384306,10.439818
1342090-0,-2.4683318,10.0928955
1342133-0,19.838171,11.048782
1342890-0,13.805179,11.092884
1344809-0,17.124603,15.666491
1345970-0,13.925072,11.269102
1346745-0,12.330354,9.711424
1347075-0,20.434904,10.570609
1347913-0,11.401098,8.629838
1350202-0,-2.0536387,12.972402
1351703-0,18.43055,10.592253
1354764-0,17.419844,14.101274
1356302-0,13.032765,16.374603
1356687-0,20.605612,11.106295
1357524-0,18.420034,9.042882
1360572-0,18.410063,6.9788637
1362087-0,10.435857,15.269293
1476943-0,18.154125,11.734916
1478024-0,12.652207,15.798221
1479630-0,19.266129,12.167947
1481521-0,10.543174,14.87906
1482302-0,-2.3412702,10.059692
1482627-0,17.010523,13.924762
1484567-0,11.329141,14.750421
1484985-0,12.200582,12.460688
1487317-0,17.718071,7.9383698
1489203-0,20.913755,9.334978
1489561-0,13.339623,11.409308
1489952-0,20.254137,10.018572
1490353-0,10.931304,8.885386
1491500-0,20.530796,9.505978
1492684-0,1.0616024,11.269458
1494566-0,20.602377,8.272057
1497269-0,20.572624,10.480104
1502623-0,19.311024,11.077566
1504901-0,20.486212,9.424117
1505333-0,19.920166,10.538635
1505352-0,19.099344,11.724578
1506127-0,18.61423,7.5636306
1506864-0,12.250238,18.226845
1507263-0,11.270273,12.307219
1507644-0,16.489517,15.215792
1507665-0,18.247652,10.823734
1508023-0,11.041191,12.398026
1509167-0,12.795788,10.368333
1510691-0,19.98857,10.765761
1624321-0,10.932197,11.550469
1625535-0,12.268833,16.720747
1626662-0,16.850126,15.587447
1626670-0,19.320747,11.074427
1629339-0,16.564966,15.406356
1632003-0,14.908306,11.061648
1632387-0,-0.050822817,10.46687
1632431-0,12.511471,16.221912
1634340-0,19.629057,7.9791746
1635860-0,-0.5576494,10.73644
1639358-0,9.938124,12.646355
1639697-0,17.416462,11.140675
1640148-0,-1.6693182,13.006934
